years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2022,374877.0,315246.0,59631.0,22444158.0,14555427.0,4608744.0,1698.0,1230.0,410.0,81.0,0.85
2023,471704.0,434959.0,36745.0,22040105.0,14587745.0,4979233.0,1990.0,1444.0,255.0,491.0,0.8
2024,481332.0,419764.0,61568.0,21428506.0,14829457.0,5347602.0,2202.0,1592.0,398.0,745.0,0.75
2025,451517.0,374978.0,76539.0,20839923.0,15035673.0,5728278.0,2139.0,1652.0,551.0,1143.0,0.85
2026,496068.0,452117.0,43951.0,20399820.0,15200066.0,6002333.0,2263.0,1818.0,321.0,1694.0,0.75
2027,466110.0,387539.0,78571.0,19902536.0,15346941.0,6350933.0,2245.0,1697.0,566.0,2015.0,0.85
2028,526036.0,479988.0,46047.0,18019521.0,16752369.0,6826744.0,2416.0,1908.0,337.0,2580.0,0.8
2029,484732.0,417043.0,67690.0,17536969.0,16967877.0,7091839.0,2273.0,1933.0,483.0,2917.0,0.8
2030,495434.0,432674.0,62760.0,16866307.0,17340155.0,7388346.0,2448.0,1819.0,455.0,3400.0,0.8
2031,464225.0,400027.0,64198.0,16310961.0,17607580.0,7674339.0,2203.0,1958.0,490.0,3855.0,0.85
2032,512326.0,466826.0,45500.0,15681330.0,18073380.0,7836362.0,2529.0,1872.0,330.0,4345.0,0.75
2033,362889.0,281240.0,81649.0,15090554.0,18388863.0,8109739.0,1802.0,1897.0,632.0,4675.0,0.75
2034,337835.0,282588.0,55247.0,14442721.0,18790231.0,8354881.0,1815.0,1352.0,451.0,5307.0,0.9
2035,431573.0,409467.0,22106.0,13729775.0,19226517.0,8630204.0,2119.0,1633.0,181.0,5758.0,0.85
2036,453757.0,412747.0,41010.0,13084472.0,19645653.0,8854726.0,2359.0,1801.0,318.0,5939.0,0.8
