years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B_SDDsolutions,control
2076,1193986.0,715904.0,478082.0,1749.0,418869.0,7614495.0,33523.0,25059.0,92640259.0,161538521.0,0.35
2077,1293633.0,817631.0,476001.0,539.0,380033.0,7626270.0,38384.0,30032.0,92665318.0,185685944.0,0.95
2078,5664643.0,5518895.0,145747.0,183.0,340528.0,7635195.0,97640.0,8939.0,92695350.0,482479332.0,0.35
2079,1894388.0,526685.0,1367703.0,0.0,279480.0,7635207.0,27212.0,87473.0,92704289.0,129543051.0,0.35
2080,773588.0,472847.0,300741.0,0.0,249608.0,7642998.0,24581.0,24378.0,92791762.0,116614620.0,0.5
2081,552383.0,308558.0,243825.0,0.0,234440.0,7642973.0,10735.0,19357.0,92816140.0,47514293.0,0.65
2082,645837.0,539224.0,106613.0,0.0,227785.0,7642960.0,13603.0,6880.0,92835498.0,61778041.0,0.35
2083,574539.0,339479.0,235060.0,0.0,215890.0,7642952.0,15167.0,12186.0,92842377.0,69842866.0,0.35
2084,759446.0,452646.0,306800.0,0.0,213347.0,7642936.0,19964.0,13587.0,92854563.0,93837566.0,0.5
2085,469854.0,94319.0,375534.0,0.0,211439.0,7642924.0,3531.0,15721.0,92868151.0,11312151.0,0.5
2086,129889.0,91204.0,38685.0,0.0,210034.0,7642914.0,3120.0,2781.0,92883872.0,9200885.0,0.5
2087,154262.0,107334.0,46928.0,0.0,208352.0,7642907.0,3894.0,2457.0,92886653.0,13495276.0,0.35
2088,121686.0,64011.0,57676.0,0.0,206436.0,7642872.0,3471.0,3489.0,92889110.0,11317827.0,0.5
2089,207231.0,166797.0,40434.0,0.0,204332.0,7642854.0,6310.0,2733.0,92892599.0,25033508.0,0.35
2090,188804.0,101436.0,87368.0,0.0,199315.0,7642854.0,5489.0,5653.0,92895332.0,21154092.0,0.5
2091,191167.0,122497.0,68670.0,0.0,195859.0,7642850.0,4732.0,4322.0,92900985.0,17322286.0,0.65
2092,414918.0,368154.0,46764.0,0.0,188149.0,7647084.0,10809.0,3033.0,92905307.0,48197956.0,0.65
2093,922831.0,808649.0,114182.0,0.0,178488.0,7647076.0,23723.0,6927.0,92908340.0,113243817.0,0.65
2094,306225.0,47867.0,258358.0,0.0,163072.0,7647058.0,1543.0,15203.0,92915267.0,1464864.0,0.35
2095,40747.0,22639.0,18107.0,0.0,160762.0,7649027.0,1441.0,1382.0,92930470.0,745021.0,0.2
2096,27213.0,11994.0,15218.0,0.0,156671.0,7652932.0,1393.0,1392.0,92931853.0,358339.0,0.5
2097,42027.0,31392.0,10635.0,0.0,150106.0,7659397.0,1482.0,1097.0,92933245.0,970786.0,0.8
2098,60971.0,54556.0,6415.0,0.0,144435.0,7664830.0,1591.0,676.0,92934341.0,1679948.0,0.5
2099,48657.0,35632.0,13025.0,0.0,137307.0,7671638.0,1676.0,1253.0,92935017.0,1338427.0,0.65
2100,54965.0,43670.0,11296.0,0.0,132352.0,7676296.0,1606.0,1074.0,92936270.0,1628548.0,0.65
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
