years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2021,477925.4307383084,397947.378591748,79978.05214656027,22960906.0,14435982.0,4212612.0,3371.9361383693317,322.80000000000115,484.1999999999982,0.0,10394680.691846613,10394680.691846613,1293.0
2022,752298.344823165,375690.9868246735,376607.35799849185,22444158.0,14553775.019109413,4608663.044752213,3326.969166385708,1348.7744553477332,2023.1616830215933,484.1999999999982,10422456.469188632,10114845.831928503,1304.0
2023,1209684.7362434312,849926.9161276936,359757.8201157373,22040105.0,14584549.746363949,4979067.348331333,7123.697264007996,1330.7876665542776,1996.1814998314321,2507.3616830215915,29976043.091783844,29323486.320040025,1259.0
2024,2063296.592950241,1234019.184521551,829277.4084286899,21428506.0,14821488.545644727,5347074.857985738,10479.246452372536,2849.478905603213,4274.218358404815,4503.543182853025,46026041.23284217,45526232.26186282,1374.0
2025,2526716.171824131,1330021.024496967,1196695.1473271658,20839923.0,15019953.020289293,5727230.589762816,11439.840271816855,4191.698580949015,6287.547871423556,8777.76154125784,51220698.0647709,50784201.35908433,1283.0
2026,4119354.1760680242,2828873.9891135274,1290480.1869544971,20399820.0,15175693.642503578,6000637.1272767605,23762.545598632754,4575.936108726767,6863.904163090117,15065.309412681374,113257627.4528517,112622727.99316408,1238.0
2027,6072612.916267056,3356434.997933009,2716177.918334045,19902536.0,15302581.877253976,6347724.347439507,28353.72045286277,9505.018239453153,14257.527359179692,21929.213575771515,136288353.1988141,135763602.26431298,1201.0
2028,10187269.542909373,6974526.071468553,3212743.471440817,18019521.0,16685049.110004453,6820392.225199316,58701.062924493606,11341.488181145096,17012.232271717538,36186.74093495122,288166684.9884339,286990314.6224675,1303.0
2029,16440203.742800253,9915701.598571872,6524502.144228387,17536969.0,16847218.515169658,7082541.774155548,83610.62734085516,23480.42516979753,35220.63775469635,53198.973206668954,413177102.12902206,412173136.7042757,1176.0
2030,24923658.049953815,15747545.530264616,9176112.519689204,16866307.0,17142926.439802617,7374317.397917991,132159.45274220663,33444.250936342185,50166.37640451327,88419.61096136479,655176393.2351806,654357263.7110293,1288.0
2031,33746901.37335138,19358743.943767022,14388157.429584377,16310961.0,17289475.802159775,7651505.580440261,164174.67976465914,52863.78109688243,79295.67164532328,138585.98736587883,818740971.5405682,814778398.8233008,1219.0
2032,59634381.38725457,42109196.62522987,17525184.762024697,15681330.0,17600748.869191054,7806342.338747106,351958.1285264719,65669.87190586377,98504.80785879612,217881.65901120077,1759409296.4063537,1752935642.6323617,1371.0
2033,62827570.470890254,25542574.92233868,37284995.54855157,15090554.0,17586742.268083204,8059953.482419789,220366.1949001822,140783.25141058865,211174.87711588293,316386.4668699966,1099321131.0459685,1096050974.5009131,1156.0
