years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2082,75959.4657561402,45620.12269995604,30339.343056184112,0.0,19357555.4049978,21494916.97609234,1453.388884641877,923.3395161106575,395247.0934747313,1324769.7750778792,1006944.4232094268,1252.0
2083,121261.7423798947,103710.78145853062,17550.960921364174,0.0,19000446.96952865,21851500.022676907,2713.736207988389,726.6944423209385,396170.43299084314,10425439.988627432,7088681.039941937,1296.0
2084,114302.59041877689,64278.592368006895,50023.998050770046,0.0,18464388.846102845,22385665.61726674,1842.1418274139871,1356.8681039941946,396897.12743316544,2995203.975448252,2440709.137069944,1354.0
2085,248645.11131921387,219214.8864402132,29430.224879000685,0.0,17945201.816984616,22903849.504557695,5173.5145009903945,921.0709137069936,398253.99553716026,26213374.859184645,20222572.504951958,1129.0
2086,149195.5500785429,34057.48839994166,115138.06167860137,0.0,17536997.694203854,23307687.174783193,1220.0,2586.7572504951972,399175.0664508644,0.0,0.0,1220.0
2087,80318.46516422697,68972.99684667603,11345.468317550964,0.0,17105818.09529338,23738532.773693696,2027.7151411557427,610.0,401761.8237013609,7466347.93857717,4488575.705778715,1130.0
2088,83783.12741374249,52350.67992654386,31432.447487198653,0.0,15356113.487887861,25487028.299900632,1653.4784424921027,1013.8575705778713,402371.8237013609,2526459.381844803,1822392.2124605232,1289.0
2089,74880.24503073348,52043.03714979155,22837.20788094195,0.0,14927524.783534868,25914862.66067275,1728.1552738863381,826.7392212460513,403385.6812719393,3519826.5987397796,2420776.3694316745,1244.0
2090,53751.81454814941,31793.406284901313,21958.40826324811,0.0,14302670.050448248,26538933.386215515,1188.0,864.0776369431691,404212.42049318523,0.0,0.0,1188.0
2091,42559.39360051845,31647.414960046117,10911.978640472349,0.0,13807353.589277223,27033964.919053096,1244.0,594.0,405076.49813012773,0.0,0.0,1244.0
2092,46625.884262185034,36394.292014563754,10231.592247621264,0.0,13265962.944020933,27575108.564309217,1359.4339109820075,622.0,405670.49813012773,1036202.6713257433,597169.5549100231,1240.0
2093,96624.24104416011,83118.31940002281,13505.921644137297,0.0,12768141.196079053,28072547.878340364,2482.900070984076,679.7169554910038,406292.49813012773,11530663.444936758,6784500.354920316,1126.0
2094,168032.1785559711,127928.44575499052,40103.73280098054,0.0,12195813.545877468,28643263.628470767,3653.662604099106,1241.450035492038,406972.21508561954,16116198.033488283,11858313.020495458,1282.0
2095,228756.36015629888,163936.76046674774,64819.59968955113,0.0,11544921.595087523,29291558.80048056,4625.686887964832,1826.831302049553,408213.6651211096,19871650.742226705,16163434.439824102,1393.0
2096,286546.38675747666,202281.20530662278,84265.18145085376,0.0,10986852.149616256,29846173.346711773,5545.605377153501,2312.843443982416,410040.49642315996,25050677.40307905,21308026.88576755,1284.0
2097,137855.67658184806,31210.692798464974,106644.98378338305,0.0,10495796.420822874,30332739.470127977,1338.3044140460481,2772.8026885767504,412353.33986714366,147024.94496870495,126522.07023021084,1313.0
2098,38058.315430339484,27819.34384107542,10238.971589264058,0.0,9705727.763584787,31122557.756162334,1283.0,669.1522070230241,415126.1425557193,0.0,0.0,1283.0
2099,66012.26968523039,57967.34657091202,8044.92311431834,0.0,9274561.427052025,31553561.092694994,2116.8497234063275,641.5,415795.2947627441,8377628.757100745,3669248.617031683,1383.0
2100,52468.14085661134,27639.627453648933,24828.51340296241,0.0,8748136.189162495,32079003.01951098,1278.0,1058.4248617031637,416436.7947627441,0.0,0.0,1278.0
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,4035000.0,4035000.0,1269.0
2021,200283.43621186077,177927.29718050789,22356.139031353014,22960906.0,14435982.0,4212612.0,1860.311201626164,322.80000000000115,0.0,3289147.7666365714,3151556.0081308573,1230.0
2022,329945.1632121973,282438.10048816295,47507.06272403447,22444158.0,14555202.337021494,4608736.351776841,2906.16203865701,744.1244806504689,322.80000000000115,8630065.215370197,8370810.19328506,1232.0
2023,271479.49456370634,192070.95202364918,79408.54254005715,22040105.0,14586344.037624838,4979179.489134882,2102.186641220662,1162.4648154628017,1066.9244806504646,3940965.315368175,3860933.2061033566,1330.0
2024,369369.27416551113,318113.80507272284,51255.4690927884,21428506.0,14827994.145904226,5347535.19421423,3365.5643470995497,840.8746564882722,2229.389296113279,11460030.686437562,11022821.735497735,1161.0
2025,653176.8257352096,562883.6675311757,90293.15820403364,20839923.0,15033029.703879695,5728159.071893481,5836.047375738162,1346.2257388398266,3070.2639526015446,23002813.92604298,22465236.878690816,1343.0
2026,1339244.4957550406,1177344.7176484824,161899.77810655787,20399820.0,15193874.453847842,6002095.279601681,11749.247220749075,2334.4189502952636,4416.48969144138,53399564.367690325,52686236.10374564,1212.0
2027,913606.4964302889,573356.5672963356,340249.9291339536,19902536.0,15331702.335433792,6350314.150794984,6109.338867353119,4699.698888299638,6750.908641736637,23800811.07930121,23631694.336765617,1383.0
2028,963525.4395664532,796973.8957108371,166551.54385561717,18019521.0,16733905.48387417,6825525.66348722,8360.182462841965,2443.7355469412405,11450.607530036274,36314524.95862558,35955912.31420987,1169.0
2029,1284706.0633053086,1051423.1129036502,233282.9504016586,17536969.0,16943735.7802653,7090248.184633254,11035.237318490465,3344.072985136768,13894.343076977457,49691680.31689344,49456186.592452794,1144.0
2030,1852545.4926413305,1546839.5660901514,305705.9265511788,16866307.0,17307900.95472333,7386124.77285673,16048.423425378161,4414.094927396188,17238.4160621143,74607712.51666072,74197117.1268906,1209.0
2031,2388918.22680227,1942151.2722741214,446766.9545281495,16310961.0,17562733.62289428,7671050.720216057,20187.892351613824,6419.3693701512875,21652.510989510465,95233184.60595572,94764461.7580685,1235.0
2032,876866.6964523782,321624.6505794334,555242.045872945,15681330.0,18011454.01659874,7832210.953131995,3819.617020828763,8075.156940645534,28071.88035966176,12615626.496099634,12558085.104143776,1308.0
2033,423866.9946399265,331178.72800201457,92688.26663791234,15090554.0,18326882.22981753,8104258.1228923965,3937.557823104668,1527.846808331496,36147.0373003073,13989993.797715185,13857789.11552334,1166.0
2034,827647.9714918631,730683.0853975782,96964.88609428503,14442721.0,18727422.70746531,8348078.115625202,8432.989431228274,1575.0231292418675,37674.88410863863,35659119.464186884,35359947.1561415,1361.0
2035,627008.3009597964,415072.2986892574,211936.0022705393,13729775.0,19158496.22761965,8621963.701673765,5077.691008881689,3373.195772491316,39249.9072378808,19184490.186681267,19058455.044408448,1266.0
2036,929097.5991239701,809013.1522917773,120084.44683219268,13084472.0,19575655.080028545,8845531.158256,9578.489350403832,2031.0764035526709,42623.10301037206,42284816.775699675,41782446.75201894,1222.0
2037,1411153.0470036026,1176810.9157541443,234342.13124945786,12548687.0,19935166.434936997,9012675.313997215,13794.456382486203,3831.3957401615307,44654.1794139247,63474476.44104525,63097281.912431195,1175.0
2038,694128.8393493972,355306.17200907454,338822.66734032275,11601256.0,20620709.953403484,9261229.422590716,4544.68722081892,5517.78255299447,48485.57515408638,16142230.33703076,16058436.104094515,1333.0
2039,513662.8238005652,410213.80826035514,103449.01554021014,11089616.0,20896931.67082403,9492623.017949397,5240.716634406009,1817.874888327559,54003.357707080686,20508234.053905014,20298583.172029994,1181.0
2040,568840.5759943837,448514.2179119549,120326.35808242875,10429502.0,21367845.309902765,9677038.769250093,5753.556236070965,2096.286653762396,55821.2325954083,22562035.46410979,22437781.180354975,1266.0
2041,665229.0951061583,532766.8226121918,132462.27249396642,9741548.0,21860335.50488913,9867196.018027596,6847.090770509073,2301.422494428394,57917.51924917085,27906853.21480075,27705453.852545153,1306.0
2042,1228612.1117620626,1070860.3791911385,157751.7325709243,9149056.0,22215666.26219549,10098047.309233174,13297.821171263873,2738.8363082036267,60218.94174359913,60098995.576292045,59834105.856319435,1331.0
2043,401690.5156831774,85974.74783128452,315715.7678518929,8570086.0,22493326.6304707,10386473.643678889,1257.0,5319.128468505567,62957.778051802765,0.0,0.0,1257.0
2044,217970.3379953023,196946.55016808028,21023.787827222197,7952775.0,22884415.27817355,10611864.995975912,2742.7857670548196,502.8000000000018,68276.90652030839,7526105.08128277,7218928.835274053,1299.0
2045,432380.3276787232,377347.480301071,55032.847377652346,7215806.0,23401215.117679182,10829809.656248078,5124.095472548973,1097.1143068219246,68779.70652030794,19855309.472059127,19375477.362744834,1249.0
2046,394913.9345622731,284764.84943990706,110149.08512236617,6599045.0,23769296.867472302,11073791.935761018,4016.9121518084726,2049.6381890195817,69876.8208271302,13771020.12279649,13604560.759042308,1296.0
2047,169556.88963522026,85355.89507566717,84200.99455955319,6078577.0,24060731.372262944,11299309.77462647,1254.0,1606.7648607233946,71926.45901614982,0.0,0.0,1254.0
2048,195891.93158248905,173305.76966401722,22586.16191847179,5477462.0,24410434.158976454,11549905.229434012,2490.1846618199024,501.6000000000014,73533.22387687305,6597773.073356482,6445923.309099534,1201.0
2049,245550.48568716703,195333.96579962817,50216.5198875388,5006433.0,24617905.82396987,11811443.379778598,2863.4281539814574,996.0738647279599,74034.82387687279,8107430.767472819,7942140.7699073,1275.0
2050,324201.7039461641,266516.9216312361,57684.7823149281,4470746.0,24858314.04194548,12104358.628796592,3904.757641840845,1145.3712615925824,75030.89774160091,13021139.128681509,12703788.209204212,1364.0
2051,458673.10012202506,378655.7879441566,80017.31217786807,4076895.0,24968635.77549012,12384600.13761024,5499.34347672877,1561.9030567363377,76176.26900319378,21107402.056701653,20536717.38364375,1392.0
2052,484551.1873301596,369335.1633365192,115216.0239936404,3629922.0,25054038.276373472,12741191.753445778,5401.683002486945,2199.7373906915145,77738.17205993037,21143730.948417284,20783415.012434836,1245.0
2053,767596.0878818715,653442.9744909374,114153.11339093384,3331938.0,25079716.127839416,13008575.344560472,9349.605791711698,2160.6732009947846,79937.90945062181,41322017.21180148,40713028.95855814,1207.0
2054,416991.66191304283,215660.18849762724,201331.4734154157,2889306.0,25234785.907333475,13287268.696010409,3360.3630435227383,3739.842316684663,82098.58265161655,10692392.042214574,10561815.217613703,1248.0
2055,575604.520086025,509318.8093353469,66285.71075067844,2448891.0,25333432.838663958,13626249.843020964,7490.620964306487,1344.1452174090966,85838.42496830078,31941220.28013102,31098104.821532518,1271.0
2056,470750.5084009182,311393.84403851506,159356.66436240327,2164771.0,25284563.15063223,13952251.921232369,4796.833347090201,2996.24838572262,87182.57018570983,17504134.87799168,17179166.735451106,1361.0
2057,317299.09282014874,219685.7605903374,97613.33222981125,1846543.0,25331837.243082434,14218977.002834456,3539.636748913634,1918.733338836095,90178.818571433,11928507.700341182,11638183.744568128,1212.0
2058,169450.85579072183,101502.47384236565,67948.38194835621,1527763.0,25303362.175977696,14563201.440583264,1724.3403356266374,1415.8546995654476,92097.55191026862,3126324.2858745265,3011701.678133181,1122.0
2059,97981.77877804982,67867.56282735747,30114.215950692327,1229209.0,25328499.19357521,14835373.082650183,1204.212826362316,689.7361342506516,93513.40660983365,120801.10706787802,116064.13181157382,1181.0
